transaction_id,amount,currency,occurred_at,status,expected_settlement_at
txn-clean-037,929.88,USD,2025-01-14T01:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-038,808.40,USD,2025-01-15T02:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-039,710.10,USD,2025-01-14T14:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-040,224.17,USD,2025-01-14T04:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-041,507.35,USD,2025-01-13T00:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-042,848.86,USD,2025-01-14T01:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-043,297.85,USD,2025-01-12T12:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-044,83.31,USD,2025-01-13T18:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-045,52.07,USD,2025-01-14T06:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-046,535.81,USD,2025-01-13T19:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-047,96.75,USD,2025-01-14T01:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-048,753.41,USD,2025-01-14T08:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-049,288.69,USD,2025-01-13T19:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-050,528.56,USD,2025-01-12T20:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-051,197.26,USD,2025-01-13T01:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-052,193.01,USD,2025-01-14T02:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-053,986.47,USD,2025-01-14T04:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-054,716.44,USD,2025-01-12T12:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-055,989.12,USD,2025-01-14T02:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-056,774.84,USD,2025-01-13T05:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-057,484.47,USD,2025-01-13T08:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-058,191.31,USD,2025-01-14T07:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-059,656.86,USD,2025-01-12T18:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-clean-060,71.75,USD,2025-01-15T00:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-001,210.33,USD,2025-01-14T21:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-002,901.92,USD,2025-01-14T15:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-003,791.72,USD,2025-01-13T05:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-004,514.32,USD,2025-01-15T03:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-005,791.04,USD,2025-01-13T11:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-006,703.52,USD,2025-01-13T00:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-007,735.12,USD,2025-01-14T03:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-008,901.66,USD,2025-01-15T10:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-009,903.53,USD,2025-01-14T21:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-010,994.19,USD,2025-01-12T15:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-011,850.12,USD,2025-01-14T01:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-012,156.21,USD,2025-01-13T16:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-013,579.85,USD,2025-01-13T22:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-014,604.70,USD,2025-01-14T15:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-ledger_gap-015,956.46,USD,2025-01-15T11:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-pending-001,666.12,USD,2025-01-14T02:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-002,675.42,USD,2025-01-14T13:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-003,829.59,USD,2025-01-14T22:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-004,847.48,USD,2025-01-13T21:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-005,808.18,USD,2025-01-12T19:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-006,210.32,USD,2025-01-14T10:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-007,221.74,USD,2025-01-13T12:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-008,705.14,USD,2025-01-12T14:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-009,795.04,USD,2025-01-15T11:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-pending-010,650.42,USD,2025-01-13T18:00:00+00:00,pending,2025-01-17T12:00:00+00:00
txn-amount_mismatch-001,806.07,USD,2025-01-12T16:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-amount_mismatch-002,288.60,USD,2025-01-13T05:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-amount_mismatch-003,1000.94,USD,2025-01-12T14:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-amount_mismatch-004,945.47,USD,2025-01-14T10:00:00+00:00,settled,2025-01-14T12:00:00+00:00
txn-amount_mismatch-005,533.96,USD,2025-01-13T20:00:00+00:00,settled,2025-01-14T12:00:00+00:00
